"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","306","up","1","Rn7s1"
"2","0","306","down","159","mt-Rnr1, mt-Tm, Olfm1, Gm23624, Gm26035, Gm24447, Aplp1, mt-Rnr2, Aldoc, Gm26461, Scd2, mt-Atp8, Mt1, mt-Tv, Rnu5g, Sparcl1, mt-Ta, Cpe, Gm25106, Ppp3ca, Apoe, Gm23287, Gm42418, mt-Tn, Sptbn1, Uba52, Clu, Kif1a, Supt7l, Pcsk1n, Qk, Atp1a2, Nrn1, Kif1b, Gm24265, Hpca, Gstm1, Stxbp1, Slc6a11, Ccni, Ndrg2, Tspan13, mt-Tc, Sez6, Ptk2b, mt-Ti, Malat1, Fam213a, Lamp5, mt-Tw, 1700020I14Rik, Atp1a1, Dbi, Abat, mt-Tl2, Oaz1, Mal2, Plekhb1, Mt2, Atxn10, Lingo1, Cldn11, Mt3, Rn7s2, mt-Nd6, Gm10736, mt-Tf, Neurod6, Ndrg3, Gm22122, Qdpr, Cxx1a, Gabrb3, Gm20594, mt-Tl1, Apod, Olig1, Prkca, Acsbg1, Psat1, Gm24407, Gm6272, S100b, Atp1b2, Ntm, Enc1, Selenop, Tubb4a, Eno1, Cryab, Lrp1, Cap1, Mef2c, Fbxw7, mt-Th, St3gal5, Dkk3, Ckmt1, Rpsa-ps2, Brinp1, Calm3, Baiap2, Ppp1r9b, Sncb, Tmcc2, Prdx1, Kcnh7, Srrm2, mt-Tq, Scd1, Il33, Tecr, Sgip1, Cacna2d1, Ddx6, mt-Tr, Sparc, Ppp1r14a, Bcas1, Tmsb10, Myrf, Abhd12, Cplx1, Kcnj10, Gatm, Actr3, Nacc2, Lrrc4c, Camk2n2, mt-Tp, Trf, Plp1, Cx3cl1, Nrsn2, Sept4, Aldh1a1, Car2, Nnat, Csrp1, Cnp, Mbp, Nefh, Mobp, Nr2f2, Gap43, Mal, Rn18s-rs5, Pcp4, Zcchc12, Agt, Mog, Ndrg1, Ermn, Ramp3, Mag, Rora, Slc17a6, Tcf7l2, Hbb-bs"
"3","1","235","down","204","mt-Rnr2, Stxbp1, mt-Rnr1, Ptgds, Slc1a2, Rtn1, Calm3, Arf3, Gda, Mbp, Syn1, Prkar1b, Calm2, Snap25, Mobp, Sncb, Aldoa, Dclk1, Fkbp1a, Ywhaz, Calm1, Pgm2l1, Malat1, Prkcd, Map2, Arpp19, Prkcb, Mef2c, Nptxr, Atp6v1g2, Psd, Cyp46a1, Hpcal4, 1110008P14Rik, Stx1a, Dlg2, Pip5k1c, Klc1, Mapk10, Kif1a, Cck, Plp1, Ctxn1, Tcf7l2, Arhgap32, Ttr, Pcsk1n, Bex2, Cacnb3, Fth1, Dnm1, Chn1, Sptbn2, Diras2, Nrgn, Sv2b, Homer1, Fam81a, Camk2n1, Rasgef1a, Kalrn, Gng3, Mal, Sparc, Atp2b4, Cdk5r1, Gm26035, Itpr1, Aplp1, Rps8, Enpp2, Snap91, Dmtn, Snca, Ttc9b, Crip2, Trf, Vstm2l, Rab6b, Eno1, Snrpn, Camkk2, Syp, Cnp, Agt, Sh3gl2, Syngr1, Myt1l, Gm24447, 3110035E14Rik, Eef1a2, Thra, Fxyd7, Pde1a, Tbr1, Dlgap1, Gas7, Apod, Slc17a7, Fam163b, Tsc22d1, Tspan2, Mkl2, Arpp21, Cacng3, Camkv, Gm20594, Stmn1, Rims1, Psd3, Mog, Olfm2, Fbxl16, Phyhip, Mboat7, Rnu5g, Efhd2, Egr1, Mical2, Vsnl1, Fam212b, Fmnl1, Rbfox3, Slc39a10, Tnnt1, Dynlrb1, Snx10, Plk2, Hk1, Enc1, Plcb1, Car2, Kcnj10, Gls, mt-Atp8, Rph3a, Gm23624, Mag, Syt4, Slc17a6, Cd81, Shox2, Pak1, Dusp3, Selenop, Cldn11, Synpo2, Syn2, Zic1, Kifc2, Aldh1a1, Negr1, Hbb-bs, Cplx2, Atp1a1, Hbb-bt, Ncald, Slc30a3, Hba-a1, Sipa1l1, Gatm, Igfbp4, Ift46, Cplx1, Qdpr, Gpr37, Bcas1, Synpr, Ndrg1, Gjc3, Cadps2, Kcnip2, Aqp4, Rn7s1, Necab1, Ptpn4, Pllp, Ugt8a, Clic4, Adarb1, Efnb3, Gap43, Nr4a2, Igf2, Gm26461, Hpcal1, Fa2h, Ermn, Plekhb1, Rasgrf2, Slc6a11, Olig1, Sept4, Pcp4l1, Ntng1, Plcb4, Hba-a2, Npy, Gm24265, Ppp1r1b, Cryab, Nov, Pcp4, Penk"
"4","2","89","up","1","Hba-a1"
"5","2","89","down","106","Ddn, Apoe, Gfap, mt-Tl1, Prkacb, Zbtb20, mt-Tv, Clu, Stmn1, mt-Tw, Mef2c, mt-Th, Ppp1r9b, mt-Tm, Camk2a, Mt1, mt-Ti, Mt3, mt-Tn, Vsnl1, Bend6, mt-Tl2, mt-Ta, Meg3, Cabp7, Kctd12, Arpp19, Gabra1, mt-Tf, mt-Tp, mt-Tc, Elavl4, Camta2, Psd, Gap43, Sv2a, Fam213a, Snhg11, Pdp1, Nsmf, Osbpl1a, Cnih2, Arpp21, Atp1a2, Eid1, Camk4, Aldoc, Lpgat1, Vgf, Dpp10, 1700020I14Rik, Prdx6, Ppp2r2b, Sgip1, mt-Atp8, Nap1l5, Edil3, Tomm40, Ntm, Car10, Lamp5, Gstm1, Rims3, Lingo1, Strbp, Cx3cl1, Resp18, Hopx, mt-Tt, Mt2, Cacnb4, Hba-a2, Chd3os, Atp1a1, Dbi, Cabp1, Hlf, Camk2n1, Tmsb10, Sv2b, Slc1a2, Atp2b4, Slc17a6, Shisa6, Epha7, mt-Tr, Gria1, Stx1a, Sptbn2, Cpne6, Pcp4l1, Ncdn, 1110008P14Rik, Crym, Igf2, Gm23624, Vip, Gpr88, Vtn, Wipf3, Supt7l, Rasgrf1, Enpp2, Ptpn4, Gm26035, Nptx1"
"6","3","87","up","1","Slc6a11"
"7","3","87","down","475","Ppp3ca, Olfm1, Camk2a, Nrgn, Sparc, Chn1, Nap1l5, Resp18, Slc17a7, Cck, Mef2c, Ptk2b, Agt, Scd2, Gprasp2, Ndn, Aldoc, Camk2n1, Zcchc12, Gm42418, Atp2b1, AW551984, Baiap2, Rpl38, Abat, Rasgrp1, Kalrn, Prkcb, Mbp, Nrsn2, Calm1, Tcf4, 3110035E14Rik, Rit2, Nts, Sparcl1, Ddn, Lingo1, Atp1a1, Dgkz, Homer1, Sv2b, Peg3, Tmsb4x, Sptbn2, Ndrg2, Selenop, mt-Tm, Neurod6, Zfp365, Ppp3r1, Cxx1a, Zwint, Enc1, Scg2, Hap1, Cldn11, Nrn1, Fam131a, Dlgap1, Ache, Baiap3, Pitx2, Camk2n2, Usp29, Zbtb18, mt-Tl2, Lmo4, Mobp, Serpine2, Gria2, Egr1, Cnksr2, Itpr1, Nrip2, Igsf1, Gprasp1, Adcy1, Itih3, Apoe, Dkk3, Scd1, Syt1, Camk4, Qdpr, Rpl26, Cd81, Htr2c, Ahi1, Psd, Kcnj10, Klhl13, Hpcal4, B630019K06Rik, Mical2, Plp1, Hpca, Dlgap3, Gm6272, Lamp5, Apod, Pcsk1n, Camkv, Vamp1, Fbxl16, Clstn1, Aldh1a1, Foxg1, Mt1, Brinp1, Etnppl, Calm2, Tbr1, Gda, Impact, Slc17a6, Gm3511, Unc13c, mt-Tl1, Prkce, Plekhb1, Nptx1, Gap43, Calb2, 2010300C02Rik, Atp1a2, Icam5, Dbi, Ncald, Stx1a, Qk, Nptxr, Arpp21, Syne1, Arpp19, Phlda3, Cox6c, Tmem255a, Ubc, Gatm, Fam81a, Itpka, Cryab, Wasf1, Atp1b2, Ngef, Mal2, Mmd, 1110008P14Rik, Rpl37a, Disp2, Gaa, Mast3, Mapk1, Rnd2, Nnat, Grin2a, Fbxw7, Fkbp1a, Cx3cl1, Dzank1, Sorbs2, Slc4a4, Uba52, Cap2, Hivep2, Neurod2, Tmsb10, Grin2b, Camkk2, Rps21, Rps15, Gas7, Inpp5f, Ttr, Slc8a2, Nefh, 6330403K07Rik, Gabrb3, Rpl22l1, Wdr6, Rpl38-ps2, Tmem130, Tspan13, Pla2g7, Gpm6a, Usmg5, Celf2, Fam49a, Sort1, Sipa1l1, Npy, Bcas1, Rbfox1, Ndufb8, Rps23, Phyhip, A730017C20Rik, Cd83, Gng11, Mmp17, Celf5, Stmn3, Dnm3, Chchd10, Git1, Gnao1, Chst1, Ano3, Ephx4, Zfhx4, Tuba1b, Prkca, Vamp2, 1700020I14Rik, Olig1, Plppr4, RP23-70B19.5, Trf, Adgrl1, Gas5, Cnp, Snca, Tmem229a, Cygb, Zfhx3, Plcb1, Nfib, Gprc5b, Kcnf1, Tpm1, Unc13a, Ttc9b, R3hdm1, Rpl3, Rpl32, Fam213a, Adgrb2, Bex1, Tmem88b, Nov, Mpped1, Ctxn2, Zfp423, Kcnv1, Rock2, Grb10, Ldha, Satb2, Nsmf, B3gat1, Slc1a2, Ipcef1, Cdk5r1, Cox7a2, St3gal5, Phactr1, Zeb2, Car2, Psd3, Tspan5, Rgs17, Phf24, Mog, Srp14, Tmem178, Anks1b, Cacnb4, Plekhb2, Dnajb5, Rpl35, Tmem91, Slc6a9, Mlc1, Rgs4, Ctxn1, Cox5b, Ndrg3, Tbca, Ndufa3, Gm23624, Sirpa, Epha4, Wipf3, Tppp3, Timp2, Rps11, Cacna2d1, Rtn4rl1, Kcnb1, Mt2, Ednrb, Pde1a, Chgb, mt-Tv, Scn1b, Nova1, Lhfpl3, Glud1, mt-Ta, Pnck, Cacng3, Pgbd5, Oprl1, Dlgap4, Fam171b, mt-Th, Gm10126, Vat1l, Prdx1, Il33, Khdrbs3, Hdac11, Cbx6, Atp2b2, Arpc2, Maged1, Ppp1r1a, Mgll, Ptprs, Acsbg1, Tspan2, Bsn, Epop, Scoc, Gm1821, Kcnip2, mt-Ti, Arpc5, Gm26461, Sec14l1, Nell2, Ndufb11, Zcchc18, Rragb, Gja1, Ntsr2, Rps12, Dclk1, Supt7l, Fgfr3, Dusp14, Actr2, Sprn, Ap1s2, Tmem47, Gm4705, Arf3, Cabp1, Kcnh7, Mid1ip1, Gm10736, Satb1, Cdkl5, Cap1, Arhgap32, Kctd1, Pak3, Lhx2, Elavl2, Mkl2, Rapgefl1, Fam212b, Cadm2, Ppp3cb, 2310022B05Rik, Hspe1, Napa, Rprml, Tcf7l2, Chrm1, Tecr, Kcnab1, Gjb6, Gsta4, Shisa7, Pld3, Ctsd, Gpr88, Ptn, Nlk, Gm24447, Sorl1, D430041D05Rik, Osbp2, Gm15421, Arhgef25, Slc30a3, Bcl11a, 9430020K01Rik, Rasgef1a, Gad2, Gria3, Osbpl1a, Fhl1, Pitpnm2, Slc24a2, Camk2b, Gm26035, Sobp, Nacc2, Crym, Cplx2, Arxes2, Celf1, Klf9, Camta2, Cxx1b, Fam163b, Plk2, Rnf112, Atp2b4, Epha7, Sowaha, Cdk17, Ptms, Jph4, Podxl2, Pak7, Gstm1, Sst, Stum, Dbn1, Ncdn, Nfix, Nedd4l, Ensa, Tyro3, Ccni, Opcml, Cacnb3, Klf13, Rn7s1, Kcnh3, Ier5, Chd3os, Syt7, 2210013O21Rik, Tubb2b, Nrcam, Bend6, Ppp2r2c, Camk1d, Crmp1, Ap1s1, Inf2, Rbfox3, Slc39a10, Sez6, Iqsec2, Ntm, Tspyl2, Rab15, Cadps2, Ctxn3, Rn18s-rs5, Hcn2, Igfbp4, Tac1, Rab40b, Fgf1, Cbln1, Gabra4, Slc32a1, Vip, Klc2, Rnu5g, Cnih2, Cpne6, Plcxd2, Gm24265, Diras2, Foxp2, Cbln4, Stxbp6"
"8","4","65","up","17","Plp1, Mobp, Trf, Mbp, Mal, Cldn11, Mag, Cnp, Apod, Plekhb1, Qdpr, Cryab, Ndrg1, Ermn, Mog, Enpp2, Ttr"
"9","4","65","down","475","Fth1, Scd2, Fa2h, Pllp, Bcas1, Gatm, Qk, Car2, Sept4, Sirt2, Gjc3, Ppp1r14a, Ugt8a, Lpar1, Opalin, Csrp1, Ttyh2, Pacs2, Efnb3, Tubb4a, Slc12a2, Gpr37, Aplp1, Phldb1, Gsn, Olig1, Slain1, Tspan2, Il33, Cers2, Cst3, Ndufa4, Tmem88b, Litaf, Cd81, Bin1, Cntn2, Neat1, Tprn, Ptgds, Gpm6b, Gjc2, Psat1, Calm1, Gna12, Plekhh1, Myrf, Desi1, Kif5a, Jam3, Anln, Sox2ot, Gab1, Abca2, Wscd1, Carhsp1, Fnbp1, Snap25, Zbtb20, Lamp1, Enc1, Erbin, Prr18, Gjb1, Gfap, Selenop, Malat1, Pip4k2a, Degs1, Sez6l2, Npc1, Clic4, Evi2a, Sox10, Tmem125, Myo6, Kif5b, Endod1, Hipk2, Gltp, Cd9, Pkp4, Calm2, Tppp3, Hsp90aa1, Fgfr2, Vsnl1, Clu, Grb14, Map7, Slc44a1, Mapt, Cdc42ep2, Apoe, Camk2n1, Nsg2, Serpinb1a, Tmcc3, Hepacam, Dnajb2, S100b, C4b, Rhog, Hapln2, Tmem63a, Olfm1, Nptxr, Lgi3, Aspa, Trim59, Cmtm5, Bnip3l, Ywhag, Camk2a, Maged1, Elovl7, Gng11, Prr5l, Gm15440, Olig2, Slc48a1, Pdgfa, S100a16, Wnk1, Rnf13, Pla2g16, Gm10073, Plcl1, Ywhah, Kif1b, Elovl1, Dock10, Sncb, Ptprd, Slc12a5, Efhd2, Otud7b, Cd82, Syt11, Stmn4, Adamts4, Rps29, Zeb2, Ado, Syt1, Ncs1, Tubb5, Tmbim1, Cck, 1700047M11Rik, Dbndd2, Agpat4, Foxn3, Chn1, 2810468N07Rik, Reep3, S1pr5, Gstm7, Ddr1, Tsc22d4, Fam49a, Rhob, Enpp6, Daam2, Arf3, Ppp1r16b, Usmg5, Josd2, Dbi, Fbxw7, Cx3cl1, Nptn, Sypl, Igfbp5, Sh3gl3, Micall1, Nsf, Adcy1, Magt1, Scd1, Sv2b, Ccp110, Gm26461, Gm2962, 4930402H24Rik, Ptpn5, Atp1b3, Oxr1, Gucy1b3, Dusp26, mt-Atp8, Tjp2, Rn7s1, Scn1a, Arhgef10, Frmd8, Plin3, Fth-ps3, Ptma, Ttll7, Bex2, Nrsn1, Gm9800, Ppp2r1a, Cd63, Syt13, Nrn1, Serinc5, Nkx6-2, Ptk2b, Taldo1, Arrdc3, Zfp365, Rab6b, Gm23624, Fam49b, Eif4a2, Plod1, Fam234a, Fez1, Padi2, Gpm6a, Rcbtb1, Tppp, Nptx1, Shtn1, Aatk, Gprc5b, Gm11478, Hba-a2, Prdx1, Fth-ps2, Gal3st1, Scrt1, Rap1a, Ppp3r1, Uqcr11, Uchl1, Tmem98, Zc3h15, Arhgap23, Pde8a, Son, Ppp1cb, Cpox, Tmem229a, Sept7, Cyfip2, Usp54, Idh3a, Gm26035, Adi1, 5031439G07Rik, Itgb4, Trp53inp2, Ermp1, Khdrbs3, Nfix, Fam131a, Ube2d3, Snrpn, Plxdc2, Nrxn3, Atl1, Scg5, Rpsa, Tmod1, Elavl3, Cdc42ep1, Shisa4, Dlgap3, Hsph1, Inf2, Ppp2r3a, Map4k4, Rps12, Anks1b, Slc6a9, Sorbs2, Slc39a10, Cacna2d1, Map2, Sub1, Dgkz, Gabra1, Mkl2, Srpk2, Nmral1, Reep1, Tprkb, Cnih2, Gm3244, Ppp3cb, Tmem151a, Calm3, Gm9794, Gm10012, AI593442, Ptp4a1, Sem1, Grin2a, Strbp, Gnai2, Casc4, Hlf, Lamp2, Pfkl, Rdx, Bpgm, Rit2, Dock1, Oxsr1, Pld3, Arpp21, Tmcc2, Dynlrb1, Rock2, Tuba4a, Fbxo7, Fxyd7, Chst1, Arhgef2, Pmp22, Rab2a, Gm12346, Gpr62, Mef2c, Map7d1, Sh3glb1, Nrcam, Map4, Dnm1l, Golga7b, Sparc, Gng3, Gm1821, Snap91, Ugcg, Ptp4a2, Mapk10, Mgst3, Echs1, Psd, Pea15a, Camk2n2, Vamp3, Ick, Clmn, Npdc1, Ap1s1, Dip2a, Celf5, Stum, Megf10, Trim37, Hapln4, Sez6l, Acap2, Hnrnpa0, 1700020I14Rik, Pitpnm2, Gm24447, Atp2b2, Rassf2, Sgip1, Phlpp1, Cenpb, Dynll1, Diras2, Tnfrsf21, Herpud1, R3hdm2, Kazn, Mmp17, Atp11a, Actr3, Rnpepl1, Vstm2a, Sema6a, Tagln3, Sipa1l1, Nfasc, Pdp1, Elovl5, Slc24a3, Dnm2, Pip5k1c, Nsmf, Secisbp2l, Neurl1a, Brinp1, Picalm, Lap3, Arhgap44, Scn1b, Phf24, Slc6a17, Rnu5g, Mtus1, Pogk, Car10, Tnfaip6, Sccpdh, Gm1673, Adipor2, Chd3os, Rap1gap, Ola1, Rhou, Nfia, Gda, Gm24265, Fbxo44, Lrrc4c, Opcml, Rock1, Morf4l2, Ntm, Sec11c, Snca, Bptf, Ensa, Pcdh7, Cab39, Lingo1, March8, Dnaja2, Npc2, Ncam1, Itpk1, Mapk3, Cplx1, Lims2, Unc5b, Supt7l, Scaf11, Fam163b, Sirpa, Sys1, Zbtb18, Mal2, Agap1, Gamt, Metrn, Chn2, Atp2b4, Rasgef1a, Ahcyl2, Grk2, Sh3gl2, Icam5, Fam213a, Ctsd, Mast4, Camk2g, Hpcal4, Actn4, Gabra4, Scarb2, Abhd4, Pigz, Ankrd13a, Rpsa-ps9, Rtkn, Tmsb10, Ptpn4, Nipa1, Rrbp1, Pcbp4, Prdx6, Gng12, Kalrn, Ptpn3, Resp18, Efhd1"
"10","5","51","down","134","Slc17a6, mt-Tv, Tcf7l2, Prkcd, Nrgn, Nap1l5, Rps8, Cfl1, Ntng1, Grm1, Aplp1, Agt, mt-Atp8, Ptpn4, Aldoa, Snap25, Cbln1, Gm26035, Slc17a7, Supt7l, Rpl11, Cyp2j9, Resp18, Tnnt1, Kif5a, Slc1a2, Stxbp1, Rpl9, Gabra4, Lmo4, Gm11353, Sncb, Prkcb, Gm24447, Gm23624, Atp6v1g2, Dlgap1, Rnu5g, BC002163, Pgm2l1, Cck, Camkk2, 3110035E14Rik, Phyhip, Syn1, Malat1, Rps8-ps1, Arpp19, Kif1a, Maged1, Ndufb6, Lrrc17, Diras2, Sparc, Rps16, Oaz1, Psd, Camk2n1, Mgll, Scg3, Dclk1, Psma7, Rpsa-ps2, Cplx2, Edil3, Spock3, 1110008P14Rik, Hk1, Selenom, Cacnb3, Sash1, Agap2, Wdr6, Ybx1, mt-Tl1, mt-Ta, Gm42418, Cabp1, Sez6, Celf2, Gm6745, Syngr1, Eno1, Camk2a, Atp6v1f, Cops3, Ptpn3, Hpcal4, Gm12254, Lgi1, Rph3a, Trim2, Thra, mt-Tm, Ndufa6, Sptbn2, Gm20721, Calm3, Gas7, Prkar1b, Atp1a1, Mast3, Tyro3, Crym, Fbxl16, Camk4, Pip5k1c, Ncald, Abi2, Pak1, Ier5, Cdk5r1, mt-Tw, Rpl17, Homer1, Nptxr, Pcp4l1, Pcsk1n, Ctxn1, Arhgap32, Arpp21, Mfge8, Mef2c, Egr1, Plekha7, Kalrn, Plp1, Hpcal1, Klc2, Cplx1, Pde1a, Stx1a, Ddn, Ttc9b"
