,cluster,#genes,genes
0,11,26,"IGKC, IGKV1-12, CCL3, FXYD2, WFDC2, FXYD6-FXYD2, CCL4L2, DUSP2, ATP1B1, PHLDA1, CXCR4, ASB2, SERPINB1, KLK1, TSC22D3, SLAMF1, LRRK2, MYO6, LAG3, SESN2, CXXC5, PDE4A, FAM129A, DNAJB2, MEX3C, AAED1"
1,13,25,"CCL22, CCL1, CXCL8, CRIP1, RARRES2, JUNB, TNFSF4, FSTL3, PIM3, TIGIT, TNFRSF12A, LINC01588, SHF, NFKB2, HMGCS1, IDI1, TLCD1, RBPJ, ARMC9, KCNN4, NOP14-AS1, CBFA2T3, FYTTD1, CPNE8, E2F7"
2,6,40,"IGLC3, IGHA1, IGHA2, IGLC7, IGLV2-23, IFI6, PIM2, TNFRSF17, CCPG1, CHAC1, ABCB9, KCNK6, TNFSF10, GPR155, MIR22HG, ANKRD28, C10orf54, IGHV3-21, LMO4, ZBTB38, FAM3C, CEBPB, CASP10, DST, DENND1B, EIF2AK3, ST8SIA4, SLC38A2, FAM69A, ARSA, CCDC112, HLA-C, ACP2, SELPLG, FNDC3A, XRN1, ARSG, PRSS16, IFIT5, TPT1-AS1"
3,17,35,"JCHAIN, IGLC2, IGKV4-1, DNAJB9, CITED2, SSR4, ITM2C, APOL1, EAF2, CD38, RNF103, IGHV3-11, BEX5, RABAC1, IGLC6, SSR3, UBE2J1, CREB3L2, GLCCI1, KLF10, CKAP4, PLPP5, EDEM3, IL10RA, IGLC5, ERC1, CHST12, UTP3, SGK3, HYI, ACBD3, ZNF841, CLIP4, SND1-IT1, PRDM15"
4,14,22,"HIST2H2AA3, CH507-513H4.1, HIST1H2BC, P4HA1, PSAT1, CAV1, RP1-34B20.21, HIST1H3D, CTH, HOXB2, QPRT, HNRNPLL, HIST1H2BG, KCNQ1OT1, MDM2, SLC7A11, ZNF331, CD59, GAS2, CRYL1, EPM2AIP1, ERO1B"
5,15,21,"IGHV1-24, IGLL5, HERPUD1, FAM46C, CDKN2C, ERN1, TXNDC11, TSPYL2, SLC44A1, TXNDC5, FNDC3B, FBXW7, MANEA, SCARB2, WIPI1, POU2AF1, NDFIP1, GFI1, CDKN1B, EDEM2, HIPK2"
6,7,38,"CCL17, IL32, KCNMA1, CYP1B1, LMNA, NFKBIA, FSCN1, SOX4, ID2, CYP1A1, TVP23A, PLA2G16, TRAF1, CSF1, MKNK2, TUBB2A, SOX9, RAB38, GADD45B, SQLE, RCN1, GBE1, SIRPA, GNA15, PRKD3, TRIP10, ABCA6, CD58, RDX, BSG, BLVRA, TJP2, C17orf96, CAV2, ASMTL, BRI3, MBOAT2, SLC20A1"
7,1,152,"HIST1H4C, HIST1H2BJ, UBE2C, TUBA1B, HMGB2, RRM2, MKI67, HIST1H1D, TOP2A, UBE2S, TUBB, CDC20, CCNB1, FTL, H2AFZ, CENPF, PCNA, HIST1H1B, NUSAP1, PLK1, HIST1H1E, CKS1B, PIF1, CKS2, PHGDH, TUBB4B, CDK1, CENPA, HIST1H2AI, KPNA2, HMMR, CCNB2, TPX2, AURKA, MGST1, DUT, ZWINT, H2AFX, ASPM, HMGB1, HMX2, CSTF2, SLBP, AURKB, KIF20B, FEN1, GTSE1, DLGAP5, SMC4, CDKN3, ASF1B, CLSPN, CCNA2, APOBEC3A, SRM, CENPM, TMPO, CENPE, EIF4EBP1, POLE, DTYMK, CDCA4, CDCA3, DNAJC9, CCNE1, ATAD2, CDCA8, USP1, MAD2L1, UBE2T, HIST2H2AC, CDCA5, SMC2, FBXO5, AC004381.6, GMNN, TMEM106C, BUB1, E2F8, CENPU, SPC25, CHAF1A, YWHAH, MPC2, TACC3, HMGB3, DHFR, CARHSP1, HJURP, CDC6, NUF2, ESCO2, TCF19, SIVA1, EZH2, CTNNAL1, KIF2C, PRC1, PGP, MSH6, MCM10, STRA13, CEP55, DDX39A, HIST1H2AH, NDC80, WDR76, ARHGAP11A, SGOL2, FAM64A, CDC45, KIFC1, HIST1H2AM, CCDC167, CYCS, GGH, SMC1A, BTG3, DEPDC1, GLA, DTL, KIF22, PRR11, CKAP2, KIF14, CRNDE, PBK, KIF23, TUBG1, RNASEH2A, RFC4, ATAD5, NCAPG, SHCBP1, EIF4A3, SGOL1, BRCA1, FAM72D, CCNF, RRM1, DIAPH3, TRIP13, BUB3, RAD21, PKMYT1, PSMC3IP, KIF11, ARHGAP11B, H2AFV, BARD1, EXOSC8, LBR"
8,9,26,"RP5-887A10.1, SAT1, RALGPS2, BTG1, EMP3, TMEM154, CD68, YPEL5, PNRC1, PATL2, HLA-E, LINC00936, ZNF821, PBXIP1, KLHL24, PDCD4-AS1, ELF1, SAMD9, RB1, TNFRSF14, LMBRD1, SAMD12, AC023590.1, STAT2, ACSF2, LY6E"
9,4,57,"ID3, RASGRP2, CD79B, DHRS9, CD180, NAAA, FAM65B, IFI44L, PDCD4, BLK, ACP5, PTPRC, MYO1F, B4GALT1, NAPSA, LILRB4, CD53, UCP2, P2RX5, CORO1B, LYL1, AIM2, UQCRB, TBC1D9, ST3GAL1, TRAF3IP3, RP11-796E2.4, RP11-693J15.4, ZFAND6, FGD2, CTD-3184A7.4, CYBB, UTRN, SETX, ADK, RP11-588H23.3, CORO7, TLR7, LINC00623, VCPIP1, ANTXR2, KCTD7, IFI16, SP110, RCSD1, SLC46A3, DOCK11, CARD16, ANKRD44, SLC12A6, PXN, TMEM63A, ARRDC1, TBC1D10C, CDK13, OCEL1, RAPGEF6"
