"cluster","#genes","genes"
"1","231","Gene3202, Gene185, Gene8640, Gene95, Gene5103, Gene4607, Gene5027, Gene3291, Gene3628, Gene1815, Gene8395, Gene1313, Gene6134, Gene8251, Gene4829, Gene6303, Gene2978, Gene3345, Gene1967, Gene6107, Gene6912, Gene9303, Gene8483, Gene5288, Gene7173, Gene6579, Gene8221, Gene1911, Gene657, Gene7699, Gene7738, Gene3968, Gene9601, Gene1833, Gene5981, Gene2719, Gene6307, Gene3658, Gene118, Gene726, Gene4794, Gene7462, Gene8339, Gene2405, Gene5580, Gene2816, Gene714, Gene8322, Gene8810, Gene8666, Gene9895, Gene6343, Gene907, Gene6159, Gene3426, Gene9634, Gene9241, Gene393, Gene1266, Gene2137, Gene1551, Gene5949, Gene8589, Gene1999, Gene2124, Gene3094, Gene6178, Gene7216, Gene9304, Gene6561, Gene2141, Gene2302, Gene6749, Gene9518, Gene6181, Gene5655, Gene6224, Gene9946, Gene5355, Gene388, Gene7091, Gene6349, Gene992, Gene359, Gene8330, Gene423, Gene4691, Gene5586, Gene3212, Gene1877, Gene9928, Gene4530, Gene2837, Gene225, Gene7375, Gene5308, Gene8007, Gene9474, Gene3246, Gene9612, Gene2935, Gene3937, Gene9963, Gene1996, Gene9546, Gene9057, Gene1403, Gene843, Gene8049, Gene4574, Gene3235, Gene1698, Gene5569, Gene1474, Gene3297, Gene6220, Gene1261, Gene8, Gene3323, Gene3035, Gene9711, Gene5917, Gene7483, Gene4612, Gene7524, Gene4868, Gene4778, Gene5619, Gene5698, Gene9039, Gene2460, Gene6202, Gene7995, Gene9526, Gene7526, Gene459, Gene4942, Gene1812, Gene5601, Gene6367, Gene6847, Gene6999, Gene5611, Gene1463, Gene5353, Gene1620, Gene6492, Gene1016, Gene7697, Gene5239, Gene6978, Gene7393, Gene2840, Gene702, Gene943, Gene572, Gene3166, Gene2734, Gene1499, Gene3097, Gene6436, Gene7583, Gene9499, Gene5289, Gene3690, Gene6731, Gene2670, Gene6692, Gene8410, Gene8263, Gene5821, Gene4964, Gene4430, Gene5449, Gene813, Gene9973, Gene1307, Gene7017, Gene2228, Gene7581, Gene8496, Gene149, Gene4876, Gene3711, Gene4079, Gene901, Gene8537, Gene9173, Gene5418, Gene1829, Gene502, Gene4455, Gene2467, Gene2413, Gene9286, Gene1176, Gene9305, Gene1416, Gene7889, Gene1997, Gene3947, Gene2956, Gene5787, Gene9517, Gene734, Gene5038, Gene8198, Gene3623, Gene9613, Gene944, Gene8090, Gene493, Gene3650, Gene2907, Gene9116, Gene9705, Gene7672, Gene7345, Gene1252, Gene4261, Gene8844, Gene4908, Gene9165, Gene8174, Gene4334, Gene4665, Gene3102, Gene7011, Gene1348, Gene6215, Gene7924"
"9","55","Gene7433, Gene4808, Gene484, Gene1624, Gene890, Gene8982, Gene2035, Gene7008, Gene685, Gene6530, Gene956, Gene9018, Gene5610, Gene5306, Gene8528, Gene5754, Gene818, Gene3484, Gene8139, Gene9814, Gene4702, Gene8719, Gene5031, Gene5214, Gene8898, Gene2273, Gene7987, Gene9503, Gene367, Gene1324, Gene2258, Gene8519, Gene1047, Gene3503, Gene8583, Gene306, Gene9860, Gene1527, Gene1226, Gene7888, Gene3178, Gene1690, Gene8983, Gene4516, Gene8688, Gene9051, Gene1920, Gene8276, Gene9083, Gene2814, Gene4920, Gene738, Gene516, Gene49, Gene5793"
"2","164","Gene8540, Gene7839, Gene4260, Gene6406, Gene249, Gene8899, Gene6463, Gene5583, Gene6258, Gene8054, Gene7106, Gene3332, Gene9383, Gene4132, Gene9134, Gene4741, Gene9545, Gene5060, Gene1947, Gene4115, Gene5684, Gene6156, Gene7092, Gene162, Gene8246, Gene6409, Gene8122, Gene8534, Gene1801, Gene7764, Gene8638, Gene3054, Gene8392, Gene2133, Gene2853, Gene9720, Gene5059, Gene2298, Gene2725, Gene3313, Gene1809, Gene8506, Gene2985, Gene8770, Gene927, Gene1593, Gene389, Gene4276, Gene8757, Gene5180, Gene7459, Gene147, Gene3529, Gene9180, Gene220, Gene789, Gene7442, Gene5409, Gene2947, Gene1224, Gene4610, Gene1081, Gene9986, Gene1412, Gene8595, Gene9965, Gene3314, Gene8205, Gene5964, Gene9437, Gene7515, Gene4111, Gene106, Gene4345, Gene4897, Gene2357, Gene9549, Gene8389, Gene7999, Gene9452, Gene6591, Gene1431, Gene7557, Gene4645, Gene880, Gene1115, Gene3365, Gene624, Gene8632, Gene7605, Gene8999, Gene9512, Gene139, Gene8273, Gene3857, Gene8267, Gene8371, Gene5689, Gene5746, Gene8617, Gene5411, Gene2239, Gene2428, Gene5630, Gene6820, Gene9933, Gene6931, Gene3262, Gene78, Gene2959, Gene9891, Gene2320, Gene7981, Gene5083, Gene5571, Gene4781, Gene619, Gene6218, Gene4099, Gene2721, Gene3088, Gene3032, Gene1298, Gene5448, Gene4040, Gene7614, Gene8956, Gene7301, Gene8704, Gene3125, Gene1694, Gene3871, Gene6647, Gene6054, Gene6504, Gene9684, Gene296, Gene8364, Gene4458, Gene8356, Gene678, Gene8078, Gene8398, Gene6523, Gene5117, Gene3163, Gene9854, Gene1132, Gene2894, Gene3787, Gene4642, Gene974, Gene8761, Gene4023, Gene2971, Gene1849, Gene5563, Gene7005, Gene6493, Gene1882, Gene8203, Gene4362, Gene80, Gene8618"
"3","134","Gene2284, Gene3110, Gene1223, Gene5085, Gene5431, Gene4885, Gene9959, Gene4669, Gene6952, Gene1951, Gene128, Gene9993, Gene5983, Gene4326, Gene32, Gene8405, Gene8643, Gene4202, Gene5344, Gene4297, Gene8861, Gene756, Gene6615, Gene1387, Gene3691, Gene8591, Gene6571, Gene9342, Gene8993, Gene8504, Gene8539, Gene8723, Gene7817, Gene2576, Gene5483, Gene6330, Gene2023, Gene3640, Gene29, Gene4154, Gene5055, Gene4962, Gene2636, Gene844, Gene5755, Gene2799, Gene6823, Gene453, Gene6361, Gene599, Gene2566, Gene3611, Gene259, Gene9048, Gene4000, Gene1535, Gene2341, Gene7549, Gene5159, Gene6345, Gene767, Gene1321, Gene8694, Gene7606, Gene9393, Gene9848, Gene5155, Gene3353, Gene382, Gene2883, Gene1970, Gene7104, Gene7882, Gene1062, Gene8853, Gene7629, Gene4355, Gene7891, Gene5966, Gene6063, Gene6142, Gene7413, Gene3134, Gene5585, Gene1341, Gene402, Gene4563, Gene9133, Gene160, Gene9761, Gene6560, Gene184, Gene5173, Gene4294, Gene2492, Gene5651, Gene4269, Gene1543, Gene9592, Gene5818, Gene8070, Gene1444, Gene337, Gene8669, Gene2676, Gene2879, Gene2716, Gene5313, Gene8518, Gene3728, Gene9058, Gene4027, Gene4918, Gene7945, Gene2554, Gene4166, Gene6954, Gene7058, Gene7363, Gene7450, Gene8109, Gene1039, Gene8022, Gene1326, Gene7329, Gene5189, Gene480, Gene1394, Gene8520, Gene4127, Gene6873, Gene2902, Gene6185, Gene8530"
"11","39","Gene3017, Gene3200, Gene3154, Gene5335, Gene557, Gene7156, Gene8864, Gene4238, Gene9577, Gene978, Gene8133, Gene6458, Gene2384, Gene1284, Gene8242, Gene6652, Gene2855, Gene6374, Gene9235, Gene602, Gene2753, Gene6292, Gene4817, Gene6722, Gene4502, Gene8144, Gene3932, Gene6948, Gene8772, Gene8119, Gene3492, Gene755, Gene9389, Gene3366, Gene1692, Gene500, Gene8744, Gene4346, Gene1966"
"10","51","Gene457, Gene4264, Gene3292, Gene965, Gene729, Gene9449, Gene4126, Gene6743, Gene7589, Gene9541, Gene9894, Gene9729, Gene4771, Gene3373, Gene3812, Gene1458, Gene5667, Gene2601, Gene5982, Gene7900, Gene8451, Gene6645, Gene285, Gene9362, Gene3673, Gene6866, Gene1526, Gene5161, Gene3011, Gene5867, Gene8250, Gene7879, Gene4400, Gene3833, Gene4451, Gene4660, Gene1304, Gene3168, Gene8790, Gene4272, Gene719, Gene785, Gene6550, Gene1958, Gene6973, Gene9231, Gene9272, Gene6352, Gene7040, Gene7289, Gene7932"
"4","97","Gene7791, Gene5524, Gene5075, Gene7499, Gene8299, Gene6773, Gene9354, Gene1854, Gene6471, Gene2108, Gene2478, Gene5572, Gene4187, Gene4721, Gene8432, Gene9627, Gene6468, Gene8768, Gene4492, Gene1302, Gene1938, Gene1678, Gene417, Gene3965, Gene8514, Gene6180, Gene2530, Gene7976, Gene5223, Gene7415, Gene6012, Gene2738, Gene460, Gene2733, Gene3372, Gene8714, Gene3143, Gene4196, Gene6139, Gene9548, Gene2114, Gene2870, Gene9233, Gene7033, Gene1084, Gene4179, Gene7842, Gene1580, Gene2082, Gene3806, Gene3795, Gene9954, Gene7916, Gene9399, Gene3155, Gene7969, Gene9203, Gene4327, Gene568, Gene9939, Gene2330, Gene877, Gene8094, Gene3768, Gene3792, Gene6704, Gene2169, Gene1646, Gene4968, Gene6822, Gene9675, Gene5139, Gene7669, Gene3441, Gene6480, Gene5799, Gene2779, Gene9828, Gene8399, Gene677, Gene6378, Gene3513, Gene238, Gene6106, Gene993, Gene1169, Gene6190, Gene1395, Gene9493, Gene2784, Gene170, Gene769, Gene35, Gene8186, Gene6526, Gene1786, Gene9013"
"6","70","Gene3884, Gene3580, Gene8987, Gene8745, Gene2209, Gene3541, Gene107, Gene9919, Gene7755, Gene8320, Gene6809, Gene1374, Gene6540, Gene4045, Gene8818, Gene3788, Gene6479, Gene4803, Gene6149, Gene6584, Gene5661, Gene1864, Gene3012, Gene3090, Gene7486, Gene4943, Gene5935, Gene7210, Gene4489, Gene7552, Gene9000, Gene3891, Gene7802, Gene620, Gene1836, Gene4552, Gene4620, Gene9019, Gene5006, Gene8063, Gene2412, Gene7665, Gene6052, Gene4050, Gene953, Gene5235, Gene5865, Gene9077, Gene7164, Gene7265, Gene2069, Gene1547, Gene5727, Gene5946, Gene5791, Gene856, Gene176, Gene6630, Gene2436, Gene7540, Gene4005, Gene3982, Gene204, Gene5533, Gene5029, Gene325, Gene3115, Gene5030, Gene874, Gene2526"
"5","78","Gene6643, Gene8080, Gene3397, Gene4706, Gene4773, Gene8411, Gene4887, Gene642, Gene3549, Gene9746, Gene9187, Gene7159, Gene8840, Gene2818, Gene5961, Gene3220, Gene3670, Gene7337, Gene5733, Gene4996, Gene328, Gene5042, Gene5687, Gene7561, Gene5248, Gene8060, Gene1609, Gene2493, Gene8706, Gene1082, Gene4717, Gene346, Gene3878, Gene4536, Gene2975, Gene5422, Gene6413, Gene3454, Gene2590, Gene9367, Gene2665, Gene6787, Gene6001, Gene4804, Gene6836, Gene213, Gene9141, Gene911, Gene5800, Gene9298, Gene3988, Gene8342, Gene6171, Gene701, Gene1100, Gene3231, Gene4657, Gene9752, Gene584, Gene597, Gene9950, Gene129, Gene1443, Gene329, Gene278, Gene5538, Gene1926, Gene4393, Gene5673, Gene2265, Gene4971, Gene7261, Gene553, Gene8385, Gene9576, Gene1557, Gene2036, Gene8959"
"7","64","Gene721, Gene4472, Gene164, Gene4787, Gene3364, Gene5857, Gene2735, Gene2689, Gene4309, Gene1872, Gene6725, Gene6988, Gene222, Gene6752, Gene61, Gene1352, Gene2929, Gene8732, Gene8310, Gene2091, Gene9607, Gene7084, Gene358, Gene1644, Gene442, Gene3399, Gene221, Gene9169, Gene691, Gene945, Gene6087, Gene8187, Gene2701, Gene5426, Gene8567, Gene4497, Gene9916, Gene8665, Gene6590, Gene6260, Gene8230, Gene8752, Gene594, Gene5890, Gene4941, Gene5325, Gene2678, Gene2605, Gene1515, Gene4098, Gene8170, Gene4270, Gene8727, Gene9270, Gene623, Gene5913, Gene5748, Gene9721, Gene4515, Gene3790, Gene6903, Gene651, Gene3642, Gene1843"
