,method,best_Jaccard_index_for_cluster
0,SPIRAL (Jaccard index=0.05),0.17702169625246547
1,SPIRAL (Jaccard index=0.05),0.07991452991452991
2,SPIRAL (Jaccard index=0.05),0.25178826895565093
3,SPIRAL (Jaccard index=0.05),0.21621621621621623
4,SPIRAL (Jaccard index=0.05),0.20860430215107553
5,SPIRAL (Jaccard index=0.05),0.18907563025210083
6,SPIRAL (Jaccard index=0.5),0.2043935052531041
7,SPIRAL (Jaccard index=0.5),0.2044665012406948
8,SPIRAL (Jaccard index=0.5),0.25178826895565093
9,SPIRAL (Jaccard index=0.5),0.21621621621621623
10,SPIRAL (Jaccard index=0.5),0.2406392694063927
11,SPIRAL (Jaccard index=0.5),0.18907563025210083
12,SPIRAL (Jaccard index=0.75),0.2043935052531041
13,SPIRAL (Jaccard index=0.75),0.2044665012406948
14,SPIRAL (Jaccard index=0.75),0.25178826895565093
15,SPIRAL (Jaccard index=0.75),0.21621621621621623
16,SPIRAL (Jaccard index=0.75),0.2406392694063927
17,SPIRAL (Jaccard index=0.75),0.18907563025210083
18,Seurat,0.06459838504037399
19,Seurat,0.04963314630988347
20,Seurat,0.10938845822566753
21,Seurat,0.08417360806663744
22,Seurat,0.10160427807486631
23,Seurat,0.06557377049180328
24,Slingshot+tradeSeq (nPoints=20),0.07898586055582643
25,Slingshot+tradeSeq (nPoints=20),0.052551020408163264
26,Slingshot+tradeSeq (nPoints=20),0.05281007751937984
27,Slingshot+tradeSeq (nPoints=20),0.027829313543599257
28,Slingshot+tradeSeq (nPoints=20),0.12319920516641829
29,Slingshot+tradeSeq (nPoints=20),0.03916827852998066
30,Slingshot+tradeSeq (nPoints=200),0.07937285644292014
31,Slingshot+tradeSeq (nPoints=200),0.049515058703420115
32,Slingshot+tradeSeq (nPoints=200),0.04611650485436893
33,Slingshot+tradeSeq (nPoints=200),0.03013444598980065
34,Slingshot+tradeSeq (nPoints=200),0.1256206554121152
35,Slingshot+tradeSeq (nPoints=200),0.036768263183357526
36,Hotspot (n_neighbors=30),0.05873642645607108
37,Hotspot (n_neighbors=30),0.07213396307428081
38,Hotspot (n_neighbors=30),0.11500974658869395
39,Hotspot (n_neighbors=30),0.048380311316785864
40,Hotspot (n_neighbors=30),0.26660009985022465
41,Hotspot (n_neighbors=30),0.05965082444228904
42,Hotspot (n_neighbors=300),0.06959526159921027
43,Hotspot (n_neighbors=300),0.04708290685772774
44,Hotspot (n_neighbors=300),0.0726474890297416
45,Hotspot (n_neighbors=300),0.030753459764223477
46,Hotspot (n_neighbors=300),0.0435871743486974
47,Hotspot (n_neighbors=300),0.056878949927078266
48,nsNMF,0.03545759463344514
49,nsNMF,0.020347394540942927
50,nsNMF,0.05263157894736842
51,nsNMF,0.012339585389930898
52,nsNMF,0.04852426213106553
53,nsNMF,0.036914339801230475
54,SingleCellHaystack (k=3),0.1133076181292189
55,SingleCellHaystack (k=3),0.09057129586623316
56,SingleCellHaystack (k=3),0.10680970149253731
57,SingleCellHaystack (k=3),0.05136663524976438
58,SingleCellHaystack (k=3),0.13931297709923665
59,SingleCellHaystack (k=3),0.08238507055075102
60,SingleCellHaystack (k=5),0.1133076181292189
61,SingleCellHaystack (k=5),0.05584978334135773
62,SingleCellHaystack (k=5),0.06493506493506493
63,SingleCellHaystack (k=5),0.05136663524976438
64,SingleCellHaystack (k=5),0.07669172932330827
