,col,#genes,genes
0,V1,32,"['IFI44L', 'FCMR', 'BLK', 'LIMD2', 'CD37', 'SCIMP', 'CORO1B', 'CD53', 'FAU', 'HLA-E', 'TNFRSF13C', 'DRAM2', 'PDCD4', 'LRMP', 'MS4A1', 'EVL', 'ATM', 'SETX', 'PTPRC', 'CD52', 'PFDN5', 'SMDT1', 'ATP6V1G1', 'PNRC1', 'HLA-DOB', 'BTG1', 'ANKRD44', 'RABGAP1L', 'IRF9', 'YPEL5', 'LPIN1', 'AC241377.2']"
1,V10,109,"['DDX21', 'DNAJA2', 'PPAN', 'WDR43', 'RIOK1', 'NOP16', 'COA4', 'MAT2A', 'ZNF593', 'NIFK', 'GPATCH4', 'MFSD2A', 'PNO1', 'DPH2', 'TSR1', 'WDR74', 'RRP9', 'NOLC1', 'ABCE1', 'NOB1', 'RRP1', 'C8orf33', 'C10orf2', 'DCUN1D5', 'TRMT61A', 'SNAPC4', 'METTL1', 'RSL1D1', 'PES1', 'PSME3', 'DNAJC2', 'PUM3', 'PINX1', 'BAZ1A', 'DDX10', 'MYC', 'EIF3J', 'NOP14', 'NDUFAF4', 'GRWD1', 'RRS1', 'RPF2', 'TRMT1', 'IFRD2', 'NIP7', 'MRPS12', 'TYW3', 'C1orf109', 'POLR1C', 'TWISTNB', 'PUS1', 'PRPF38B', 'DIMT1', 'TAF1D', 'UTP14A', 'GAR1', 'ABCF2', 'RPL7L1', 'IMP4', 'NOC2L', 'TOMM6', 'DDX18', 'ETF1', 'POLR3E', 'GTPBP4', 'COA7', 'EIF5B', 'RABGGTB', 'ZC3H15', 'FAM216A', 'YRDC', 'WDR3', 'TSSC4', 'CFAP97', 'WDR46', 'ZPR1', 'GSPT1', 'RRP12', 'AK6', 'WDR36', 'ZNHIT6', 'DNLZ', 'CNBP', 'ECE2', 'CCDC86', 'CHCHD4', 'DDX56', 'EXOSC4', 'AP1S3', 'RNF126', 'BYSL', 'NOP58', 'RRP7A', 'SURF6', 'TBL3', 'MLST8', 'UBE2G2', 'RPP38', 'BOLA2', 'GADD45B', 'WDR75', 'MAPKAPK5', 'PAM16', 'PTP4A3', 'PAK1IP1', 'NCBP2', 'EMG1', 'FAM60A', 'UTP20']"
2,V11,93,"['SENP3-EIF4A1', 'MDH1', 'XRCC6', 'MDH2', 'PSMA5', 'ATP5A1', 'PSMD8', 'PSMB1', 'ILF2', 'PSMC4', 'CCT8', 'PSMB3', 'PSMB6', 'PSMC5', 'ATP5F1', 'EIF3I', 'FH', 'PSMD4', 'PRDX2', 'ATP5C1', 'HNRNPM', 'ATP5B', 'LDHB', 'PSMD13', 'PSMA4', 'HNRNPA1', 'AC004069.2', 'PSMA3', 'RUVBL2', 'NPM1', 'HNRNPC', 'MCTS1', 'SNRPA', 'PFDN6', 'NUP37', 'PSME2', 'PGK1', 'MRPL13', 'PSMB2', 'PSMB7', 'TXNDC17', 'PSMB8', 'PSMD2', 'C14orf166', 'PPIA', 'PSMA2', 'NDUFA9', 'PPA2', 'PCCB', 'EIF4A1', 'IDH3B', 'FKBP3', 'HNRNPK', 'SLC25A5', 'CCT7', 'PPP1R7', 'PDHA1', 'ALDOA', 'SNRPD2', 'AIMP2', 'RTCB', 'PSMD14', 'PSMD6', 'ETFB', 'PSMA1', 'PSMD3', 'XRCC5', 'GHITM', 'ACAT1', 'PRDX1', 'NDUFS2', 'NDUFA10', 'PSMC1', 'PSMC2', 'UQCRC2', 'SNRPB2', 'KARS', 'WDR61', 'MRPL39', 'RP11-561B11.2', 'MRPS9', 'NUDT5', 'PRDX3', 'VCP', 'FAH', 'LDHA', 'PSMD11', 'SNRPC', 'PSMA6', 'CCDC25', 'HSP90AB1', 'POLR2G', 'PPIH']"
3,V12,29,"['SUB1', 'RP4-583P15.15', 'ANXA2', 'DEF8', 'LILRB4', 'IL6R', 'HRASLS2', 'UBE2G1', 'EMP3', 'CERK', 'LDLRAP1', 'FMNL1', 'ITGAE', 'AHNAK', 'VAV1', 'DEF6', 'GRK6', 'MYO1F', 'C11orf24', 'H2AFJ', 'NAGA', 'ALDH16A1', 'CCDC69', 'RP11-166B2.1', 'CDKN2C', 'P2RX5', 'KLF2', 'GPR160', 'BAK1']"
4,V13,74,"['MGST3', 'MYO6', 'MPC2', 'FAIM', 'MACROD2', 'EPS8', 'LRRK2', 'MSL3', 'MSRB1', 'S100A11', 'HRSP12', 'SPATS2L', 'HNF1B', 'CD63', 'RNF157', 'GAS2', 'AIG1', 'ATP1B1', 'CYS1', 'COA3', 'EPDR1', 'RAB38', 'SYNGR1', 'ANXA11', 'HOXB4', 'CTA-293F17.1', 'COL19A1', 'CXorf21', 'SPTBN1', 'ASPH', 'MPP1', 'TCN2', 'AGMAT', 'FXYD6-FXYD2', 'KCNK1', 'MACC1', 'FXYD2', 'PIK3R1', 'KTN1', 'ESAM', 'C1QTNF3-AMACR', 'SLAIN1', 'SERPINB9', 'CALM3', 'ANXA4', 'SYTL3', 'KIAA1033', 'ASL', 'IPCEF1', 'SNX10', 'TUBA4A', 'CHDH', 'UBE2F-SCLY', 'DENND6B', 'CCSAP', 'LRRC28', 'ACSL4', 'ISCU', 'SLC12A2', 'BSG', 'IGHD', 'FXYD5', 'MT2A', 'HABP4', 'CA2', 'ECH1', 'TRAC', 'IL17RB', 'BLNK', 'GOLGA7', 'FAM46A', 'SYNE2', 'LAG3', 'EHBP1']"
5,V14,78,"['ARPC1B', 'PDLIM1', 'CORO1A', 'ACTR2', 'FAM49B', 'FKBP15', 'SIT1', 'GRN', 'GPX1', 'SNX3', 'SYK', 'MAP2K6', 'CAP1', 'BFSP2', 'SPIB', 'LAT2', 'PLD4', 'ACY3', 'CNPY3', 'BRI3BP', 'COTL1', 'C1orf228', 'CTSZ', 'RGS19', 'CD47', 'GGA2', 'SUSD1', 'CNN2', 'PIK3AP1', 'TNFSF11', 'FRMD8', 'VAMP8', 'CXCR3', 'TRAF5', 'CHD1', 'IFNGR1', 'CELF2', 'CAMP', 'SMIM14', 'PDLIM2', 'PRKCB', 'AP1S2', 'LMO2', 'PLAC8', 'ARPC2', 'STAMBPL1', 'EGLN2', 'ARHGAP9', 'ACTG1', 'TFPT', 'ENTPD1', 'SYPL1', 'PDLIM7', 'ATAD2B', 'MAP4K1', 'ITGB2', 'GCNT2', 'PRR13', 'UGCG', 'FAM129C', 'AIF1', 'NT5C', 'CLN8', 'ABI3', 'MOB1A', 'RASSF2', 'CSK', 'ATP5E', 'ADAMTS12', 'TMSB4X', 'ARHGAP17', 'BCAS4', 'NUP160', 'PAX5', 'TRIM14', 'ARPC5', 'LGALS9', 'MKL1']"
6,V15,58,"['ATF4', 'SHMT2', 'WARS', 'PSAT1', 'SDF2L1', 'SARS', 'SLC1A5', 'TRIB3', 'PHGDH', 'SLC3A2', 'SLC7A5', 'XPOT', 'HYOU1', 'ASNS', 'CRELD2', 'GARS', 'DESI1', 'CDK2AP2', 'ALG12', 'TCEA1', 'SESN2', 'MTHFD2', 'CEBPB', 'RAD9A', 'GPT2', 'PYCR1', 'PCK2', 'RNF187', 'IARS', 'CTH', 'MSTO1', 'DDIT3', 'SLC35B1', 'HAX1', 'AARS', 'SLC7A11', 'TMEM50B', 'DNAJB11', 'CEBPG', 'HMOX1', 'DSTN', 'EIF4EBP1', 'NT5DC2', 'ATF5', 'NFE2L1', 'CEP57', 'EMC9', 'PDIA3', 'ATP2A2', 'DYRK4', 'PSPH', 'RAB39B', 'CALR', 'LONP1', 'FADD', 'RPL36AL', 'RSL24D1', 'CISD2']"
7,V16,207,"['C22orf39', 'USP4', 'SUPT20H', 'CWF19L2', 'C19orf52', 'MANBAL', 'GSKIP', 'MEX3C', 'GFM1', 'METTL3', 'RAB30-AS1', 'DHX29', 'PRICKLE4', 'CXorf56', 'SLC7A6OS', 'ERCC5', 'RALBP1', 'ANKRD54', 'UNC45A', 'CETN3', 'TMEM216', 'AAGAB', 'TLK1', 'MSL2', 'PGBD4', 'MOAP1', 'DUSP22', 'SDHAF1', 'CUL3', 'ZNF322', 'ITGB3BP', 'TMEM56-RWDD3', 'TRMT61B', 'MTRR', 'ARFRP1', 'TIMM10B', 'POU2F1', 'FEM1B', 'EDRF1', 'ZNF100', 'PCM1', 'ZFP64', 'YTHDC2', 'FAM173A', 'DMAP1', 'SMARCD2', 'LINC00680', 'RANBP6', 'CDK11A', 'PPIL2', 'RBAK-RBAKDN', 'ARNT', 'ZNF181', 'THUMPD1', 'CGRRF1', 'GEMIN2', 'RP11-660L16.2', 'WDR73', 'TMEM129', 'FAM50B', 'GTF3C3', 'JPX', 'ZCCHC17', 'HPS4', 'CEP170', 'POLR2J3', 'ZNF22', 'TBC1D7', 'DLG1', 'UBLCP1', 'DHX38', 'NIFK-AS1', 'RNPC3', 'ZC3H13', 'GNPTAB', 'AC004951.6', 'TUT1', 'TMEM126B', 'CCDC102A', 'SCAMP1-AS1', 'ATF7', 'RECQL5', 'ANKRD13C', 'SKIV2L2', 'NSMAF', 'ZNF107', 'RUNDC1', 'BOD1L1', 'LRBA', 'ZUFSP', 'NAA35', 'PPIE', 'UBE4A', 'PAXBP1', 'SCAF1', 'LRRC47', 'LANCL2', 'IPO8', 'YY1AP1', 'CCDC130', 'FAM160A2', 'CDK9', 'DDX52', 'DTD2', 'GPALPP1', 'ZNF770', 'ZZZ3', 'RBMX2', 'RANBP2', 'TLK2', 'NCOA6', 'NDUFA3', 'TCHP', 'DNAJB12', 'TRIP11', 'MAP2K4', 'NAT1', 'ABHD13', 'ELP4', 'CTC-459F4.3', 'STAU1', 'API5', 'PITRM1', 'ZNF394', 'LYRM2', 'ETAA1', 'EIF2B5', 'PAXIP1-AS1', 'EHMT2', 'RBM26', 'ZBTB14', 'RHOT1', 'PIGL', 'TBRG1', 'SDR39U1', 'BRAP', 'TMEM128', 'ZBTB8OS', 'KANSL2', 'ANKRD46', 'ZNF302', 'METTL17', 'ERV3-1', 'RMND5B', 'UPF3A', 'MECP2', 'BPNT1', 'ZNF493', 'FAM134C', 'ZNF529', 'ICE1', 'WDR44', 'COA5', 'FAM160B1', 'C7orf49', 'TIA1', 'ZCCHC9', 'YAF2', 'USP9X', 'AGO3', 'ALKBH1', 'HACL1', 'FAM179B', 'IDH1', 'ZCCHC6', 'MPLKIP', 'IPMK', 'TRAPPC8', 'SEC24B', 'SSBP2', 'NUP43', 'FARP2', 'RP11-872J21.3', 'TMEM177', 'QTRT1', 'SDHAF2', 'VPS50', 'COPS7A', 'SIPA1L3', 'TOR1AIP2', 'VPS52', 'GTF2E1', 'SEPHS2', 'PEX13', 'ARL17B', 'TCF3', 'SLC30A6', 'BECN1', 'PPP2R5C', 'FAM208A', 'GLYR1', 'CHKB', 'FRA10AC1', 'PPP6R3', 'ANKIB1', 'HDHD2', 'THAP5', 'R3HDM1', 'NR2C2', 'VGLL4', 'ARMC7', 'WDR70', 'FAM73A', 'NFRKB', 'NAPG', 'KIAA0100', 'USP33']"
8,V17,63,"['MT-ND4', 'MT-CYB', 'MT-ATP6', 'MT-CO1', 'MT-ND5', 'MT-CO2', 'TMA7', 'SMIM10L1', 'RGS20', 'MT-CO3', 'STK32C', 'MT-ND4L', 'MT-ND3', 'COX14', 'BABAM1', 'MT-ND2', 'UQCR11', 'BCL7C', 'RP11-111M22.3', 'PHTF1', 'ANAPC15', 'MBD2', 'DYNC1H1', 'EIF4G2', 'DGKZ', 'TTC39C-AS1', 'ADNP', 'BOLA3', 'ARHGEF12', 'MTF2', 'IL2RB', 'ASXL1', 'LINC01003', 'C19orf53', 'C11orf31', 'ZNF621', 'UQCR10', 'LAMTOR4', 'PDPR', 'DGKE', 'CAV2', 'RNF7', 'OAZ1', 'TADA3', 'MLF2', 'PEBP1', 'ZDHHC7', 'AHI1', 'CDK10', 'ZMIZ1', 'ELOF1', 'TMEM14B', 'MT-ND1', 'TOP2B', 'MBNL1', 'ATP5I', 'SNHG21', 'NABP2', 'PTPN12', 'KHSRP', 'FAM200B', 'KIAA1429', 'PDS5A']"
9,V18,42,"['LINC00667', 'SRP14-AS1', 'KIAA0753', 'KIAA2013', 'RP11-455F5.5', 'CCM2', 'CCDC71', 'GMDS-AS1', 'NUDCD3', 'C6orf120', 'RP11-400F19.6', 'TRPT1', 'HDHD3', 'HDDC3', 'AP5S1', 'KPTN', 'CCDC53', 'TMEM260', 'SLC39A4', 'ZNF75A', 'FAM228B', 'SLC16A1-AS1', 'CES2', 'HSBP1L1', 'SMUG1', 'TOP3B', 'COQ5', 'PAAF1', 'NIN', 'DOK3', 'PITPNA-AS1', 'FAM122A', 'C10orf88', 'LRRK1', 'PRSS21', 'BCKDK', 'AGGF1', 'KCNN3', 'GBA', 'CCDC97', 'DNASE1L1', 'FBXO28']"
