"cluster","#genes","genes"
"1","59","Gene2259, Gene1228, Gene9897, Gene1685, Gene7773, Gene7725, Gene5379, Gene8500, Gene9449, Gene4852, Gene1056, Gene3239, Gene4023, Gene3637, Gene2759, Gene1570, Gene2530, Gene8375, Gene856, Gene6746, Gene5588, Gene5774, Gene2459, Gene9219, Gene8710, Gene4579, Gene7510, Gene4864, Gene5885, Gene9790, Gene5278, Gene1907, Gene4591, Gene8715, Gene8244, Gene160, Gene9889, Gene3422, Gene8826, Gene519, Gene3567, Gene9701, Gene482, Gene2716, Gene146, Gene8825, Gene6110, Gene5990, Gene3700, Gene4259, Gene5417, Gene9557, Gene5826, Gene2883, Gene2662, Gene8236, Gene1166, Gene6545, Gene5321"
"2","91","Gene5060, Gene9836, Gene2003, Gene5612, Gene9581, Gene1482, Gene1128, Gene4898, Gene2600, Gene7358, Gene7413, Gene2645, Gene4044, Gene2853, Gene8612, Gene612, Gene4527, Gene9500, Gene605, Gene5306, Gene4940, Gene7461, Gene3060, Gene7732, Gene7313, Gene5924, Gene3317, Gene8595, Gene871, Gene3789, Gene2653, Gene6312, Gene3419, Gene8074, Gene88, Gene3986, Gene8913, Gene1532, Gene3362, Gene6157, Gene7517, Gene5171, Gene1863, Gene5300, Gene6328, Gene9876, Gene6403, Gene995, Gene3511, Gene6018, Gene6917, Gene6159, Gene721, Gene6877, Gene9596, Gene1280, Gene4324, Gene6939, Gene3, Gene5062, Gene5519, Gene9296, Gene745, Gene1597, Gene8942, Gene1082, Gene6705, Gene5669, Gene6947, Gene8537, Gene9861, Gene4908, Gene5513, Gene4216, Gene7159, Gene8387, Gene4655, Gene3165, Gene2456, Gene2012, Gene3735, Gene5678, Gene4469, Gene6807, Gene2504, Gene7068, Gene9441, Gene4498, Gene9260, Gene8640, Gene3184"
"3","106","Gene4790, Gene4804, Gene2307, Gene5485, Gene7737, Gene2492, Gene5814, Gene9992, Gene7584, Gene3633, Gene5596, Gene6630, Gene3652, Gene8560, Gene4601, Gene4657, Gene6244, Gene8219, Gene1439, Gene2249, Gene131, Gene1539, Gene1405, Gene3054, Gene7272, Gene6333, Gene4917, Gene8179, Gene7443, Gene2016, Gene150, Gene1547, Gene4625, Gene953, Gene6061, Gene5039, Gene4389, Gene4006, Gene1171, Gene1899, Gene2798, Gene6115, Gene5502, Gene1267, Gene7343, Gene8229, Gene4635, Gene8258, Gene8849, Gene2892, Gene1076, Gene1283, Gene3003, Gene9681, Gene7487, Gene6450, Gene9039, Gene1629, Gene8185, Gene4826, Gene9186, Gene5887, Gene2275, Gene2925, Gene6815, Gene5197, Gene1013, Gene8041, Gene9827, Gene4206, Gene9572, Gene4968, Gene9258, Gene6532, Gene89, Gene7293, Gene2924, Gene6311, Gene4995, Gene8052, Gene1088, Gene7586, Gene5856, Gene5961, Gene4041, Gene1033, Gene6415, Gene2664, Gene9780, Gene9961, Gene2107, Gene1828, Gene6126, Gene2757, Gene7695, Gene231, Gene5387, Gene7254, Gene7801, Gene1219, Gene9282, Gene5245, Gene3693, Gene1927, Gene4879, Gene8851"
"4","48","Gene8326, Gene2133, Gene4224, Gene5494, Gene2535, Gene8145, Gene9931, Gene7104, Gene6111, Gene6365, Gene5776, Gene9908, Gene9169, Gene7271, Gene2351, Gene2484, Gene2507, Gene5698, Gene789, Gene1676, Gene7543, Gene4273, Gene8905, Gene83, Gene5356, Gene8412, Gene2237, Gene4944, Gene1635, Gene5137, Gene6760, Gene2760, Gene2083, Gene4289, Gene3577, Gene8779, Gene1208, Gene3277, Gene5950, Gene3732, Gene9777, Gene274, Gene2706, Gene658, Gene9867, Gene168, Gene1633, Gene4750"
"5","21","Gene8174, Gene4936, Gene1604, Gene3791, Gene671, Gene2666, Gene6880, Gene497, Gene7712, Gene6668, Gene6076, Gene5105, Gene2914, Gene2531, Gene885, Gene6728, Gene2761, Gene6706, Gene9306, Gene2843, Gene7143"
"6","54","Gene4100, Gene9298, Gene2125, Gene5017, Gene2084, Gene5717, Gene3956, Gene9648, Gene9689, Gene9362, Gene9928, Gene3632, Gene782, Gene1023, Gene6474, Gene6196, Gene454, Gene7802, Gene301, Gene8365, Gene8192, Gene8226, Gene7694, Gene6859, Gene2390, Gene2519, Gene8660, Gene2670, Gene6562, Gene2891, Gene5667, Gene2409, Gene9356, Gene5575, Gene5657, Gene9589, Gene4457, Gene6604, Gene1894, Gene9542, Gene6599, Gene5361, Gene9348, Gene6039, Gene840, Gene8207, Gene5453, Gene4941, Gene6045, Gene4284, Gene4878, Gene52, Gene239, Gene8465"
"7","30","Gene5183, Gene3433, Gene293, Gene6501, Gene2161, Gene94, Gene3230, Gene7955, Gene7497, Gene7611, Gene8353, Gene6858, Gene8347, Gene640, Gene3428, Gene9049, Gene2777, Gene7044, Gene4533, Gene8639, Gene6383, Gene8259, Gene7760, Gene1672, Gene7949, Gene9332, Gene3684, Gene3198, Gene7073, Gene5315"
"8","42","Gene7740, Gene9345, Gene8450, Gene5648, Gene607, Gene6979, Gene7245, Gene2800, Gene9667, Gene9822, Gene3152, Gene9165, Gene2474, Gene2023, Gene2746, Gene1757, Gene9658, Gene8593, Gene2008, Gene3431, Gene3014, Gene2786, Gene9920, Gene8601, Gene1142, Gene3588, Gene4174, Gene7707, Gene3047, Gene7754, Gene2935, Gene4522, Gene6831, Gene736, Gene4426, Gene7735, Gene6638, Gene7085, Gene6644, Gene8036, Gene2585, Gene4276"
"9","22","Gene4653, Gene8136, Gene7455, Gene2430, Gene6998, Gene5401, Gene5693, Gene2930, Gene9250, Gene4953, Gene1141, Gene9601, Gene2031, Gene3205, Gene5384, Gene8705, Gene3160, Gene525, Gene4337, Gene2338, Gene8147, Gene5554"
"10","30","Gene3724, Gene1190, Gene325, Gene41, Gene6340, Gene9824, Gene415, Gene248, Gene3187, Gene8340, Gene7005, Gene9418, Gene3987, Gene5920, Gene2206, Gene2127, Gene7429, Gene4727, Gene5242, Gene4427, Gene4689, Gene2534, Gene227, Gene5476, Gene8559, Gene6780, Gene6181, Gene1616, Gene813, Gene4147"
